Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.1220        -5153.841    -5153.841        0.000     0.0
0.1225        -5153.841    -5153.841        0.000     0.0
0.1230        -5153.841    -5153.841        0.000     0.0
0.1235        -5153.841    -5153.841        0.000     0.0
0.1240        -5153.841    -5153.841        0.000     0.0
0.1245        -5153.841    -5153.841        0.000     0.0
0.1250        -5153.841    -5153.841        0.000     0.0
0.1255        -5153.841    -5153.841        0.000     0.0
0.1260        -5153.841    -5153.841        0.000     0.0
0.1265        -5153.841    -5153.841        0.000     0.0
0.1270        -5153.841    -5153.841        0.000     0.0
0.1275        -5153.841    -5153.841        0.000     0.0
0.1280        -5153.841    -5153.841        0.000     0.0
0.1285        -5153.841    -5153.841        0.000     0.0
0.1290        -5153.841    -5153.841        0.000     0.0
0.1295        -5153.841    -5153.841        0.000     0.0
0.1300        -5153.841    -5153.841        0.000     0.0
0.1305        -5153.841    -5153.841        0.000     0.0
0.1310        -5153.841    -5153.841        0.000     0.0
0.1315        -5153.841    -5153.841        0.000     0.0
0.1320        -5153.841    -5153.841        0.000     0.0
0.1325        -5153.841    -5153.841        0.000     0.0
0.1330        -5153.841    -5153.841        0.000     0.0
0.1335        -5153.841    -5153.841        0.000     0.0
0.1340        -5153.841    -5153.841        0.000     0.0
0.1345        -5153.841    -5153.841        0.000     0.0
0.1350        -5153.841    -5153.841        0.000     0.0
0.1355        -5153.841    -5153.841        0.000     0.0
0.1360        -5153.841    -5153.841        0.000     0.0
0.1365        -5153.841    -5153.841        0.000     0.0
0.1370        -5153.841    -5153.841        0.000     0.0
0.1375        -5153.841    -5153.841        0.000     0.0
0.1380        -5153.841    -5153.841        0.000     0.0
0.1385        -5153.841    -5153.841        0.000     0.0
0.1390        -5153.841    -5153.841        0.000     0.0
0.1395        -5153.841    -5153.841        0.000     0.0
0.1400        -5153.841    -5153.841        0.000     0.0
0.1405        -5153.841    -5153.841        0.000     0.0
0.1410        -5153.841    -5153.841        0.000     0.0
0.1415        -5153.841    -5153.841        0.000     0.0
0.1420        -5153.841    -5153.841        0.000     0.0
0.1425        -5153.841    -5153.841        0.000     0.0
0.1430        -5153.841    -5153.841        0.000     0.0
0.1435        -5153.841    -5153.841        0.000     0.0
0.1440        -5153.841    -5153.841        0.000     0.0
0.1445        -5153.841    -5153.841        0.000     0.0
0.1450        -5153.841    -5153.841        0.000     0.0
0.1455        -5153.841    -5153.841        0.000     0.0
0.1460        -5153.841    -5153.841        0.000     0.0
0.1465        -5153.841    -5153.841        0.000     0.0
0.1470        -5153.841    -5153.841        0.000     0.0
0.1475        -5153.841    -5153.841        0.000     0.0
0.1480        -5153.841    -5153.841        0.000     0.0
0.1485        -5153.841    -5153.841        0.000     0.0
0.1490        -5153.841    -5153.841        0.000     0.0
0.1495        -5153.841    -5153.841        0.000     0.0
0.1500        -5153.841    -5153.841        0.000     0.0
