 #Reference     Predicted       Error     structure_no 
  -0.00120000    0.08016038    0.08136038             9
   0.01537000    0.50360267    0.48823267             9
   0.00092200   -0.46265328    0.46357528             9
   0.00080200    0.64112751    0.64032551             9
   0.01537000    0.50356637    0.48819637             9
  -0.00115600   -0.32388458    0.32272858             9
   0.00039700   -0.72123882    0.72163582             9
   0.01537000    0.50362823    0.48825823             9
   0.00303800   -0.44419032    0.44722832             9
  -0.00547600    0.32162601    0.32710201             9
  -0.01385600   -0.61442161    0.60056561             9
   0.00322300   -0.05642900    0.05965200             9
   0.00536900   -0.54550418    0.55087318             9
  -0.01385600   -0.61439228    0.60053628             9
  -0.00626100    0.50067785    0.50693885             9
   0.00010700    0.22392640    0.22381940             9
  -0.01385600   -0.61438956    0.60053356             9
   0.00303800   -0.44422659    0.44726459             9
   0.00547600   -0.32165770    0.32713370             9
   0.01385600    0.61442083    0.60056483             9
  -0.00626100    0.50062259    0.50688359             9
  -0.00010700   -0.22391772    0.22381072             9
   0.01385600    0.61437498    0.60051898             9
   0.00322300   -0.05646225    0.05968525             9
  -0.00536900    0.54551678    0.55088578             9
   0.01385600    0.61443363    0.60057763             9
   0.00070100    0.28393179    0.28323079             9
  -0.00255800    0.21059753    0.21315553             9
  -0.01084800   -0.50071838    0.48987038             9
   0.00186500   -0.32436046    0.32622546             9
   0.00188600    0.14055057    0.13866457             9
  -0.01084800   -0.50074541    0.48989741             9
  -0.00256600    0.04040281    0.04296881             9
   0.00067200   -0.35111922    0.35179122             9
  -0.01084800   -0.50076105    0.48991305             9
   0.00070100    0.28389858    0.28319758             9
   0.00255800   -0.21059805    0.21315605             9
   0.01084800    0.50074334    0.48989534             9
  -0.00256600    0.04046876    0.04303476             9
  -0.00067200    0.35113240    0.35180440             9
   0.01084800    0.50072883    0.48988083             9
   0.00186500   -0.32430483    0.32616983             9
  -0.00188600   -0.14055584    0.13866984             9
   0.01084800    0.50075657    0.48990857             9
   0.00528000    0.67586986    0.67058986             9
   0.00112200   -0.29806413    0.29918613             9
   0.01541000    0.35261507    0.33720507             9
  -0.00361100   -0.07983664    0.07622564             9
   0.00401100    0.73434695    0.73033595             9
   0.01541000    0.35258595    0.33717595             9
  -0.00166800   -0.59608726    0.59441926             9
  -0.00513300   -0.43630861    0.43117561             9
   0.01541000    0.35258840    0.33717840             9
   0.00528000    0.67588506    0.67060506             9
  -0.00112200    0.29803762    0.29915962             9
  -0.01541000   -0.35258381    0.33717381             9
  -0.00166800   -0.59605411    0.59438611             9
   0.00513300    0.43629310    0.43116010             9
  -0.01541000   -0.35257714    0.33716714             9
  -0.00361100   -0.07977950    0.07616850             9
  -0.00401100   -0.73435980    0.73034880             9
  -0.01541000   -0.35259587    0.33718587             9
   0.00000000   -0.00000000    0.00000000            10
  -0.00000000    0.00000106    0.00000106            10
  -0.00000000   -0.00001505    0.00001505            10
   0.00000000   -0.00000000    0.00000000            10
  -0.00000000   -0.00000399    0.00000399            10
  -0.00000000    0.00002575    0.00002575            10
   0.00000000   -0.00000000    0.00000000            10
  -0.00000000    0.00000392    0.00000392            10
  -0.00000000    0.00003374    0.00003374            10
  -0.00000000    0.00000263    0.00000263            10
  -0.00000000    0.00000161    0.00000161            10
  -0.00000000    0.00003012    0.00003012            10
  -0.00000000   -0.00000263    0.00000263            10
  -0.00000000    0.00000161    0.00000161            10
  -0.00000000    0.00003012    0.00003012            10
   0.00000000    0.00000000    0.00000000            10
  -0.00000000   -0.00000327    0.00000327            10
   0.01734500    1.82591185    1.80856685            10
   0.00000000    0.00000000    0.00000000            10
  -0.00000000   -0.00000223    0.00000223            10
  -0.01734500   -1.82591815    1.80857315            10
  -0.00237400   -0.67439321    0.67201921            10
   0.00137100    0.38935996    0.38798896            10
   0.01524500    1.22440048    1.20915548            10
   0.00000000   -0.00000000    0.00000000            10
  -0.00274200   -0.77871849    0.77597649            10
   0.01524500    1.22440175    1.20915675            10
   0.00237400    0.67439321    0.67201921            10
   0.00137100    0.38935996    0.38798896            10
   0.01524500    1.22440048    1.20915548            10
   0.00237400    0.67439184    0.67201784            10
  -0.00137100   -0.38936155    0.38799055            10
  -0.01524500   -1.22443371    1.20918871            10
   0.00000000    0.00000000    0.00000000            10
   0.00274200    0.77872296    0.77598096            10
  -0.01524500   -1.22443368    1.20918868            10
